"degree.layout","n_rowerow","name","selected","shared name"
"1","3","Amazon WRO2","false","Amazon WRO2"
"2","3","Aleja Bielany","false","Aleja Bielany"
"2","11","Centrum Handlowe Auchan Bielany","false","Centrum Handlowe Auchan Bielany"
"3","11","Czekoladowa / Wałbrzyska","false","Czekoladowa / Wałbrzyska"
"2","0","Solskiego / al. Piastów","false","Solskiego / al. Piastów"
"2","9","Oporów (pętla tramwajowa)","false","Oporów (pętla tramwajowa)"
"4","16","Grabiszyńska / Aleja Hallera","false","Grabiszyńska / Aleja Hallera"
"2","7","Klecińska (Wrocław Grabiszyn)","false","Klecińska (Wrocław Grabiszyn)"
"2","1","Ostrowskiego","false","Ostrowskiego"
"2","9","Hallera / Odkrywców","false","Hallera / Odkrywców"
"3","9","Aleja Hallera / Mielecka","false","Aleja Hallera / Mielecka"
"4","1","Gajowicka","false","Gajowicka"
"4","2","Powstańców Śląskich / Aleja Hallera","false","Powstańców Śląskich / Aleja Hallera"
"2","13","Racławicka / Rymarska","false","Racławicka / Rymarska"
"3","7","Skarbowców / Wietrzna","false","Skarbowców / Wietrzna"
"4","3","Krzycka / Aleja Karkonoska (Park Południowy)","false","Krzycka / Aleja Karkonoska (Park Południowy)"
"3","4","Przyjaźni / Karkonoska","false","Przyjaźni / Karkonoska"
"2","1","Przyjaźni","false","Przyjaźni"
"2","14","Wałbrzyska - pętla tramwajowa","false","Wałbrzyska - pętla tramwajowa"
"4","4","Powstańców Śląskich / Orla","false","Powstańców Śląskich / Orla"
"2","0","Ślężna / pętla tramwajowa","false","Ślężna / pętla tramwajowa"
"3","9","Ślężna / Skierniewicka","false","Ślężna / Skierniewicka"
"3","8","Ślężna / Aleja Wiśniowa","false","Ślężna / Aleja Wiśniowa"
"1","0","al. Karkonoska / Jeździecka","false","al. Karkonoska / Jeździecka"
"2","1","Zwycięska / Ołtaszyńska","false","Zwycięska / Ołtaszyńska"
"2","3","Zwycięska / Agrestowa","false","Zwycięska / Agrestowa"
"3","8","Kutrzeby / Hubala","false","Kutrzeby / Hubala"
"2","3","Grota-Roweckiego / Iwaszkiewicza","false","Grota-Roweckiego / Iwaszkiewicza"
"3","3","Grota-Roweckiego / Parafialna","false","Grota-Roweckiego / Parafialna"
"3","0","Borowska (Uniw. Szpital Kliniczny)","false","Borowska (Uniw. Szpital Kliniczny)"
"3","7","Świeradowska / Ferio Gaj","false","Świeradowska / Ferio Gaj"
"3","2","Świeradowska / Krynicka","false","Świeradowska / Krynicka"
"1","1","Piławska","false","Piławska"
"2","9","Bardzka (cmentarz)","false","Bardzka (cmentarz)"
"2","2","Konduktorska","false","Konduktorska"
"2","9","Grapowa","false","Grapowa"
"2","5","Jagodzińska / Buforowa","false","Jagodzińska / Buforowa"
"1","5","Kopycińskiego / Drabika","false","Kopycińskiego / Drabika"
"3","16","al. Armii Krajowej / Borowska","false","al. Armii Krajowej / Borowska"
"3","4","al. Armii Krajowej / Bardzka","false","al. Armii Krajowej / Bardzka"
"2","1","al. Armii Krajowej / Tarnogajska","false","al. Armii Krajowej / Tarnogajska"
"2","12","Tarnogajska / Klimasa","false","Tarnogajska / Klimasa"
"1","5","Gazowa / Międzyleska","false","Gazowa / Międzyleska"
"0","23","Buforowa - Vivaldiego","false","Buforowa - Vivaldiego"
